airline,score (max 10),reviews,links
Jetstar Pacific,3,110,"https://www.airlinequality.com/airline-reviews/jetstar-pacific"""
JetsuiteX,10,1,"https://www.airlinequality.com/airline-reviews/jetsuitex"""
Jin Air,7,18,"https://www.airlinequality.com/airline-reviews/jin-air"""
Joon,3,11,"https://www.airlinequality.com/airline-reviews/joon"""
Jordan Aviation,5,2,"https://www.airlinequality.com/airline-reviews/jordan-aviation"""
Juneyao Airlines,5,36,"https://www.airlinequality.com/airline-reviews/juneyao-airlines"""
Kam Air,3,28,"https://www.airlinequality.com/airline-reviews/kam-air"""
Kan Air,6,2,"https://www.airlinequality.com/airline-reviews/kan-air"""
Karthago Airlines,3,38,"https://www.airlinequality.com/airline-reviews/karthago-airlines"""
KD Air,1,1,"https://www.airlinequality.com/airline-reviews/kd-air"""
Kenya Airways,5,389,"https://www.airlinequality.com/airline-reviews/kenya-airways"""
Kish Airlines,5,3,"https://www.airlinequality.com/airline-reviews/kish-air"""
KLM Royal Dutch Airlines,6,1407,"https://www.airlinequality.com/airline-reviews/klm-royal-dutch-airlines"""
Korean Air,8,541,"https://www.airlinequality.com/airline-reviews/korean-air"""
Kulula,3,85,"https://www.airlinequality.com/airline-reviews/kulula"""
Kuwait Airways,4,300,"https://www.airlinequality.com/airline-reviews/kuwait-airways"""
La Compagnie,6,45,"https://www.airlinequality.com/airline-reviews/la-compagnie"""
LAM Mozambique,3,32,"https://www.airlinequality.com/airline-reviews/lam-mozambique-airlines"""
LAN Airlines,6,332,"https://www.airlinequality.com/airline-reviews/lan-airlines"""
LAN Colombia,6,8,"https://www.airlinequality.com/airline-reviews/lan-colombia"""
LAN Peru,4,42,"https://www.airlinequality.com/airline-reviews/lan-peru"""
Lao Airlines,9,1,"https://www.airlinequality.com/airline-reviews/lao-airlines-2"""
Lao Skyway,8,72,"https://www.airlinequality.com/airline-reviews/lao-airlines"""
LATAM Airlines,3,390,"https://www.airlinequality.com/airline-reviews/latam-airlines"""
Laudamotion,3,33,"https://www.airlinequality.com/airline-reviews/laudamotion"""
LC Perú,4,14,"https://www.airlinequality.com/airline-reviews/lc-peru"""
Level,3,61,"https://www.airlinequality.com/airline-reviews/level"""
LIAT,4,119,"https://www.airlinequality.com/airline-reviews/liat"""
Libyan Airlines,5,16,"https://www.airlinequality.com/airline-reviews/libyan-airlines"""
Lion Air,3,197,"https://www.airlinequality.com/airline-reviews/lion-air"""
Loch Lomond Seaplanes,8,2,"https://www.airlinequality.com/airline-reviews/loch-lomond-seaplanes"""
Loganair,6,29,"https://www.airlinequality.com/airline-reviews/loganair"""
LOT Polish Airlines,4,621,"https://www.airlinequality.com/airline-reviews/lot-polish-airlines"""
Lubeck Air,10,2,"https://www.airlinequality.com/airline-reviews/lubeck-air"""
Lucky Air,3,7,"https://www.airlinequality.com/airline-reviews/lucky-air"""
Lufthansa,6,2109,"https://www.airlinequality.com/airline-reviews/lufthansa"""
Luxair,6,85,"https://www.airlinequality.com/airline-reviews/luxair"""
Lynx Air,4,92,"https://www.airlinequality.com/airline-reviews/lynx-air"""
Mack Air,9,1,"https://www.airlinequality.com/airline-reviews/mack-air"""
Madagasikara Airways,10,2,"https://www.airlinequality.com/airline-reviews/madagasikara-airways"""
Mahan Air,8,30,"https://www.airlinequality.com/airline-reviews/mahan-air"""
Malawian Airlines,4,12,"https://www.airlinequality.com/airline-reviews/malawian-airlines"""
Malaysia Airlines,6,1271,"https://www.airlinequality.com/airline-reviews/malaysia-airlines"""
Maldivian,5,4,"https://www.airlinequality.com/airline-reviews/maldivian"""
Malindo Air,4,344,"https://www.airlinequality.com/airline-reviews/malindo-air"""
Malmo Aviation,7,9,"https://www.airlinequality.com/airline-reviews/malm-aviation"""
Mandarin Airlines,8,4,"https://www.airlinequality.com/airline-reviews/mandarin-airlines"""
Mango Airlines,3,116,"https://www.airlinequality.com/airline-reviews/mango"""
Mann Yadanarpon Airlines,8,2,"https://www.airlinequality.com/airline-reviews/mann-yadanarpon-airlines"""
Manta Air,9,1,"https://www.airlinequality.com/airline-reviews/manta-air"""
Martinair,3,22,"https://www.airlinequality.com/airline-reviews/martinair"""
Mauritania Airlines,3,2,"https://www.airlinequality.com/airline-reviews/mauritania-airlines"""
Maya Island Air,1,2,"https://www.airlinequality.com/airline-reviews/maya-island-air"""
MAYAir,1,1,"https://www.airlinequality.com/airline-reviews/mayair"""
MEGA Maldives Airlines,4,1,"https://www.airlinequality.com/airline-reviews/mega-maldives-airlines"""
Meridiana,5,108,"https://www.airlinequality.com/airline-reviews/meridiana"""
MIAT Mongolian Airlines,6,33,"https://www.airlinequality.com/airline-reviews/miat-mongolian"""
Middle East Airlines,6,101,"https://www.airlinequality.com/airline-reviews/mea-middle-east-airlines"""
Mihin Lanka,5,6,"https://www.airlinequality.com/airline-reviews/mihin-lanka"""
Mokulele Airlines,3,11,"https://www.airlinequality.com/airline-reviews/mokulele-airlines"""
Moldavian Airlines,8,5,"https://www.airlinequality.com/airline-reviews/moldavian-airlines"""
Monarch Airlines,6,452,"https://www.airlinequality.com/airline-reviews/monarch-airlines"""
Montenegro Airlines,5,19,"https://www.airlinequality.com/airline-reviews/montenegro-airlines"""
Motor Sich Airlines,6,3,"https://www.airlinequality.com/airline-reviews/motor-sich-airlines"""
Myanmar Airways,8,27,"https://www.airlinequality.com/airline-reviews/myanmar-airways"""
Myanmar National Airlines,8,11,"https://www.airlinequality.com/airline-reviews/myanmar-national-airlines"""
NAM Air,4,12,"https://www.airlinequality.com/airline-reviews/nam-air"""
Nature Air,2,16,"https://www.airlinequality.com/airline-reviews/nature-air"""
Nauru Airlines,9,2,"https://www.airlinequality.com/airline-reviews/nauru-airlines"""
Nepal Airlines,6,28,"https://www.airlinequality.com/airline-reviews/nepal-airlines"""
NextJet,3,1,"https://www.airlinequality.com/airline-reviews/nextjet"""
NIKI,8,42,"https://www.airlinequality.com/airline-reviews/niki"""
Nile Air,8,1,"https://www.airlinequality.com/airline-reviews/nile-air"""
Nok Air,6,132,"https://www.airlinequality.com/airline-reviews/nok-air"""
NokScoot,5,2,"https://www.airlinequality.com/airline-reviews/nokscoot"""
Nordavia,6,4,"https://www.airlinequality.com/airline-reviews/nordavia"""
Nordic Regional Airlines,6,1,"https://www.airlinequality.com/airline-reviews/nordic-regional-airlines"""
Nordica,6,3,"https://www.airlinequality.com/airline-reviews/nordica"""
NordStar,7,1,"https://www.airlinequality.com/airline-reviews/nordstar"""
Nordwind Airlines,9,2,"https://www.airlinequality.com/airline-reviews/nordwind-airlines"""
Norse Atlantic Airways,4,5,"https://www.airlinequality.com/airline-reviews/norse-atlantic-airways"""
Norwegian,5,1303,"https://www.airlinequality.com/airline-reviews/norwegian"""
Nouvelair,3,13,"https://www.airlinequality.com/airline-reviews/nouvelair"""
Novair,7,1,"https://www.airlinequality.com/airline-reviews/novair"""
Novoair,4,2,"https://www.airlinequality.com/airline-reviews/novoair"""
Okay Airways,6,4,"https://www.airlinequality.com/airline-reviews/okay-airways"""
Olympic Air,7,91,"https://www.airlinequality.com/airline-reviews/olympic-air"""
Oman Air,6,452,"https://www.airlinequality.com/airline-reviews/oman-air"""
Omni Air International,4,10,"https://www.airlinequality.com/airline-reviews/omni-air-international"""
Onur Air,5,133,"https://www.airlinequality.com/airline-reviews/onur-air"""
Openskies,6,65,"https://www.airlinequality.com/airline-reviews/openskies"""
Orient Thai Airlines,7,41,"https://www.airlinequality.com/airline-reviews/orient-thai"""
Pacific Airlines,2,5,"https://www.airlinequality.com/airline-reviews/pacific-airlines"""
Pakistan Intl Airlines,5,160,"https://www.airlinequality.com/airline-reviews/pia-pakistan-international-airlines"""
PAL Express,5,8,"https://www.airlinequality.com/airline-reviews/pal-express"""
Pan Pacific Airlines,1,1,"https://www.airlinequality.com/airline-reviews/pan-pacific-airlines"""
Passaredo,3,3,"https://www.airlinequality.com/airline-reviews/passaredo-linhas-aereas"""
Passion Air,3,3,"https://www.airlinequality.com/airline-reviews/passion-air"""
PAWA Dominicana,5,2,"https://www.airlinequality.com/airline-reviews/pawa-dominicana"""
Peach Aviation,4,58,"https://www.airlinequality.com/airline-reviews/peach-aviation"""
Pegasus Airlines,4,369,"https://www.airlinequality.com/airline-reviews/pegasus-airlines"""
PenAir,3,3,"https://www.airlinequality.com/airline-reviews/penair"""
Peruvian Airlines,2,43,"https://www.airlinequality.com/airline-reviews/peruvian-airlines"""
Petroleum Air Services,6,3,"https://www.airlinequality.com/airline-reviews/petroleum-air-services"""
Philippine Airlines,6,776,"https://www.airlinequality.com/airline-reviews/philippine-airlines"""
Phuket Air,2,40,"https://www.airlinequality.com/airline-reviews/phuket-air"""
PLAY,5,32,"https://www.airlinequality.com/airline-reviews/play"""
Pobeda Airlines,2,38,"https://www.airlinequality.com/airline-reviews/pobeda-airlines"""
Porter Airlines,4,302,"https://www.airlinequality.com/airline-reviews/porter-airlines"""
Precision Air,4,80,"https://www.airlinequality.com/airline-reviews/precision"""
Primera Air,3,7,"https://www.airlinequality.com/airline-reviews/primera-air"""
Privilege Style,5,13,"https://www.airlinequality.com/airline-reviews/privilege-style"""
Qantas Airways,6,1703,"https://www.airlinequality.com/airline-reviews/qantas-airways"""
QantasLink,7,117,"https://www.airlinequality.com/airline-reviews/qantaslink"""
Qatar Airways,7,2108,"https://www.airlinequality.com/airline-reviews/qatar-airways"""
Qazaq Air,9,2,"https://www.airlinequality.com/airline-reviews/qazaq-air"""
Ravn Alaska,1,14,"https://www.airlinequality.com/airline-reviews/era-alaska"""
Ravn Alaska,4,9,"https://www.airlinequality.com/airline-reviews/ravn-alaska"""
Red Wings Airlines,3,4,"https://www.airlinequality.com/airline-reviews/red-wings-airlines"""
Regent Airways,5,22,"https://www.airlinequality.com/airline-reviews/regent-airways"""
Regional Express,7,86,"https://www.airlinequality.com/airline-reviews/regional-express"""
Rex Airlines,9,28,"https://www.airlinequality.com/airline-reviews/rex-airlines"""
Rhein-Neckar Air,10,1,"https://www.airlinequality.com/airline-reviews/rhein-neckar-air"""
Rossiya Airlines,6,45,"https://www.airlinequality.com/airline-reviews/rossiya-airlines"""
Royal Air Maroc,5,311,"https://www.airlinequality.com/airline-reviews/royal-air-maroc"""
Royal Brunei Airlines,7,350,"https://www.airlinequality.com/airline-reviews/royal-brunei-airlines"""
Royal Jordanian Airlines,5,353,"https://www.airlinequality.com/airline-reviews/royal-jordanian-airlines"""
Rwandair,5,79,"https://www.airlinequality.com/airline-reviews/rwandair"""
Ryanair,4,2104,"https://www.airlinequality.com/airline-reviews/ryanair"""
S7 Siberia Airlines,7,66,"https://www.airlinequality.com/airline-reviews/s7-siberia-airlines"""
SA Express,5,45,"https://www.airlinequality.com/airline-reviews/sa-express"""
Safarilink,8,2,"https://www.airlinequality.com/airline-reviews/safarilink"""
Safi Airways,5,10,"https://www.airlinequality.com/airline-reviews/safi-airways"""
Salam Air,3,5,"https://www.airlinequality.com/airline-reviews/salam-air"""
Sansa Airlines,5,4,"https://www.airlinequality.com/airline-reviews/sansa-airlines"""
Santa Barbara Airlines,5,25,"https://www.airlinequality.com/airline-reviews/santa-barbara"""
SAS Scandinavian,5,814,"https://www.airlinequality.com/airline-reviews/sas-scandinavian-airlines"""
SATA Air Azores,4,146,"https://www.airlinequality.com/airline-reviews/sata-air-azores"""
SATA International,4,108,"https://www.airlinequality.com/airline-reviews/sata-internacional"""
SATENA,5,2,"https://www.airlinequality.com/airline-reviews/satena"""
Saudi Arabian Airlines,5,360,"https://www.airlinequality.com/airline-reviews/saudi-arabian-airlines"""
SCAT Airlines,7,4,"https://www.airlinequality.com/airline-reviews/scat-airlines"""
Scoot,5,609,"https://www.airlinequality.com/airline-reviews/scoot"""
Seaborne Airlines,2,15,"https://www.airlinequality.com/airline-reviews/seaborne-airlines"""
SereneAir,5,10,"https://www.airlinequality.com/airline-reviews/sereneair"""
Shaheen Air,7,12,"https://www.airlinequality.com/airline-reviews/shaheen-air"""
Shandong Airlines,5,24,"https://www.airlinequality.com/airline-reviews/shandong-airlines"""
Shanghai Airlines,5,72,"https://www.airlinequality.com/airline-reviews/shanghai-airlines"""
Shenzhen Airlines,4,42,"https://www.airlinequality.com/airline-reviews/shenzhen-airlines"""
Sichuan Airlines,5,48,"https://www.airlinequality.com/airline-reviews/sichuan-airlines"""
SilkAir,7,215,"https://www.airlinequality.com/airline-reviews/silkair"""
Silver Airways,2,139,"https://www.airlinequality.com/airline-reviews/silver-airways"""
Singapore Airlines,7,1387,"https://www.airlinequality.com/airline-reviews/singapore-airlines"""
Sky Airline,4,46,"https://www.airlinequality.com/airline-reviews/sky-airline"""
Sky Express Airlines,3,64,"https://www.airlinequality.com/airline-reviews/sky-express-airlines"""
Skybus,3,3,"https://www.airlinequality.com/airline-reviews/skybus"""
Skymark Airlines,8,17,"https://www.airlinequality.com/airline-reviews/skymark-airlines"""
Skytrans Airlines,8,1,"https://www.airlinequality.com/airline-reviews/skytrans-airlines"""
SkyUp Airlines,3,3,"https://www.airlinequality.com/airline-reviews/skyup-airlines"""
SkyWest Airlines,7,38,"https://www.airlinequality.com/airline-reviews/skywest-airlines"""
SkyWork Airlines,5,2,"https://www.airlinequality.com/airline-reviews/skywork-airlines"""
Small Planet Airlines,6,85,"https://www.airlinequality.com/airline-reviews/small-planet-airlines-uab"""
Smartavia,1,3,"https://www.airlinequality.com/airline-reviews/smartavia"""
SmartLynx Airlines,3,8,"https://www.airlinequality.com/airline-reviews/smartlynx-airlines"""
SmartWings,4,90,"https://www.airlinequality.com/airline-reviews/smartwings"""
Sol Líneas Aéreas,1,1,"https://www.airlinequality.com/airline-reviews/sol-lineas-aereas"""
Solomon Airlines,7,9,"https://www.airlinequality.com/airline-reviews/solomon-airlines"""
Somon Air,4,3,"https://www.airlinequality.com/airline-reviews/somon-air"""
South African Airways,6,437,"https://www.airlinequality.com/airline-reviews/south-african-airways"""
Southwest Airlines,4,1633,"https://www.airlinequality.com/airline-reviews/southwest-airlines"""
SpiceJet,4,531,"https://www.airlinequality.com/airline-reviews/spicejet"""
Spirit Airlines,2,4495,"https://www.airlinequality.com/airline-reviews/spirit-airlines"""
Spring Airlines,4,63,"https://www.airlinequality.com/airline-reviews/spring"""
SriLankan Airlines,6,581,"https://www.airlinequality.com/airline-reviews/srilankan-airlines"""
Sriwijaya Air,4,54,"https://www.airlinequality.com/airline-reviews/sriwijaya-air"""
Star Peru,3,20,"https://www.airlinequality.com/airline-reviews/star-per"""
StarFlyer,8,5,"https://www.airlinequality.com/airline-reviews/starflyer"""
Sudan Airways,1,1,"https://www.airlinequality.com/airline-reviews/sudan-airways"""
Sun Country Airlines,3,327,"https://www.airlinequality.com/airline-reviews/sun-country-airlines"""
Sun-Air,10,2,"https://www.airlinequality.com/airline-reviews/sun-air"""
SunExpress,4,52,"https://www.airlinequality.com/airline-reviews/sun-express"""
Sunwing Airlines,3,690,"https://www.airlinequality.com/airline-reviews/sunwing-airlines"""
Suparna Airlines,5,1,"https://www.airlinequality.com/airline-reviews/suparna-airlines"""
Super Air Jet,3,5,"https://www.airlinequality.com/airline-reviews/super-air-jet"""
Surinam Airways,5,23,"https://www.airlinequality.com/airline-reviews/surinam-airways"""
SVG Air,6,1,"https://www.airlinequality.com/airline-reviews/svg-air"""
Swiss Intl Air Lines,6,926,"https://www.airlinequality.com/airline-reviews/swiss-international-air-lines"""
Swoop,3,641,"https://www.airlinequality.com/airline-reviews/swoop"""
SyrianAir,3,23,"https://www.airlinequality.com/airline-reviews/syrianair"""
T'Way Air,5,11,"https://www.airlinequality.com/airline-reviews/tway-air"""
TAAG Angola Airlines,4,51,"https://www.airlinequality.com/airline-reviews/taag-angola-airlines"""
TACA Airlines,7,80,"https://www.airlinequality.com/airline-reviews/taca"""
TACA Regional,6,3,"https://www.airlinequality.com/airline-reviews/taca-regional"""
TACV Cabo Verde Airlines,3,27,"https://www.airlinequality.com/airline-reviews/tacv-cabo"""
TAG Airlines,4,12,"https://www.airlinequality.com/airline-reviews/tag-airlines"""
Tailwind Airlines,5,3,"https://www.airlinequality.com/airline-reviews/tailwind-airlines"""
TAM Airlines,5,226,"https://www.airlinequality.com/airline-reviews/tam-airlines"""
TAME,2,37,"https://www.airlinequality.com/airline-reviews/tame"""
Tame Línea Aérea Del Ecuador,2,12,"https://www.airlinequality.com/airline-reviews/tame-linea-aerea-del-ecuador"""
TAP Portugal,4,1312,"https://www.airlinequality.com/airline-reviews/tap-portugal"""
TAR Aerolineas,4,8,"https://www.airlinequality.com/airline-reviews/tar-aerolineas"""
TAROM Romanian,6,166,"https://www.airlinequality.com/airline-reviews/tarom-romanian-airlines"""
Thai AirAsia,5,81,"https://www.airlinequality.com/airline-reviews/thai-airasia"""
Thai Airways,7,940,"https://www.airlinequality.com/airline-reviews/thai-airways"""
Thai Lion Air,3,147,"https://www.airlinequality.com/airline-reviews/thai-lion-air"""
Thai Smile Airways,7,201,"https://www.airlinequality.com/airline-reviews/thai-smile-airways"""
Thomas Cook Airlines,5,642,"https://www.airlinequality.com/airline-reviews/thomas-cook-airlines"""
Thomas Cook Airlines Belgium,5,5,"https://www.airlinequality.com/airline-reviews/thomas-cook-belgium-airlines-customer"""
Thomas Cook Airlines Scandinavia,6,9,"https://www.airlinequality.com/airline-reviews/thomas-cook-airlines-scandinavia"""
Thomson Airways,6,586,"https://www.airlinequality.com/airline-reviews/thomson-airways"""
Tianjin Airlines,7,15,"https://www.airlinequality.com/airline-reviews/tianjin-airlines"""
Tibet Airlines,8,1,"https://www.airlinequality.com/airline-reviews/tibet-airlines"""
Tigerair,6,184,"https://www.airlinequality.com/airline-reviews/tigerair"""
Tigerair Australia,3,506,"https://www.airlinequality.com/airline-reviews/tigerair-australia"""
Tigerair Taiwan,4,7,"https://www.airlinequality.com/airline-reviews/tigerair-taiwan"""
Titan Airways,7,29,"https://www.airlinequality.com/airline-reviews/titan-airways"""
Transaero Airlines,5,55,"https://www.airlinequality.com/airline-reviews/transaero-airlines"""
TransAsia Airways,8,7,"https://www.airlinequality.com/airline-reviews/transasia-airways"""
Transavia,4,225,"https://www.airlinequality.com/airline-reviews/transavia"""
Trigana Air,8,2,"https://www.airlinequality.com/airline-reviews/trigana-air"""
Tropic Air Belize,7,4,"https://www.airlinequality.com/airline-reviews/tropic-air-belize"""
TUI Airways,5,63,"https://www.airlinequality.com/airline-reviews/tui-airways"""
TUIfly,4,64,"https://www.airlinequality.com/airline-reviews/tuifly"""
TUIfly Nordic,5,1,"https://www.airlinequality.com/airline-reviews/tuifly-nordic"""
Tunisair,5,79,"https://www.airlinequality.com/airline-reviews/tunisair"""
Turkish Airlines,4,2241,"https://www.airlinequality.com/airline-reviews/turkish-airlines"""
Turkmenistan Airlines,4,40,"https://www.airlinequality.com/airline-reviews/turkmenistan-airlines"""
Uganda Airlines,5,2,"https://www.airlinequality.com/airline-reviews/uganda-airlines"""
Ukraine International,4,391,"https://www.airlinequality.com/airline-reviews/ukraine-international-airlines"""
United Airlines,3,4326,"https://www.airlinequality.com/airline-reviews/united-airlines"""
UP by El Al,4,4,"https://www.airlinequality.com/airline-reviews/up-by-el-al"""
Ural Airlines,4,19,"https://www.airlinequality.com/airline-reviews/ural-airlines"""
US Airways,4,460,"https://www.airlinequality.com/airline-reviews/us-airways"""
US-Bangla Airlines,6,6,"https://www.airlinequality.com/airline-reviews/us-bangla-airlines"""
Utair Aviation,6,10,"https://www.airlinequality.com/airline-reviews/utair-aviation"""
Uzbekistan Airways,4,68,"https://www.airlinequality.com/airline-reviews/uzbekistan-airways"""
V Air,5,7,"https://www.airlinequality.com/airline-reviews/v-air"""
Vanilla Air,5,13,"https://www.airlinequality.com/airline-reviews/vanilla-air"""
ViaAir,2,11,"https://www.airlinequality.com/airline-reviews/viaair"""
VietJet Air,3,494,"https://www.airlinequality.com/airline-reviews/vietjetair"""
Vietnam Airlines,6,637,"https://www.airlinequality.com/airline-reviews/vietnam-airlines"""
Virgin America,7,311,"https://www.airlinequality.com/airline-reviews/virgin-america"""
Virgin Atlantic,5,806,"https://www.airlinequality.com/airline-reviews/virgin-atlantic-airways"""
Virgin Australia,5,917,"https://www.airlinequality.com/airline-reviews/virgin-australia"""
Vistara,7,190,"https://www.airlinequality.com/airline-reviews/vistara"""
Viva Air,1,67,"https://www.airlinequality.com/airline-reviews/viva-air"""
VivaAerobús,2,103,"https://www.airlinequality.com/airline-reviews/vivaaerobus"""
VivaColombia,2,47,"https://www.airlinequality.com/airline-reviews/vivacolombia"""
VLM Airlines,5,46,"https://www.airlinequality.com/airline-reviews/vlm-airlines"""
Volaris,2,363,"https://www.airlinequality.com/airline-reviews/volaris"""
Volotea,5,244,"https://www.airlinequality.com/airline-reviews/volotea"""
Voyage Air,1,1,"https://www.airlinequality.com/airline-reviews/voyage-air"""
Vueling Airlines,3,1154,"https://www.airlinequality.com/airline-reviews/vueling-airlines"""
Wamos Air,3,14,"https://www.airlinequality.com/airline-reviews/wamos-air"""
WestJet Airlines,4,863,"https://www.airlinequality.com/airline-reviews/westjet"""
Wideroe,3,20,"https://www.airlinequality.com/airline-reviews/wideroe"""
Winair,2,6,"https://www.airlinequality.com/airline-reviews/winair"""
Wingo,2,16,"https://www.airlinequality.com/airline-reviews/wingo"""
Wings Air,3,20,"https://www.airlinequality.com/airline-reviews/wings-air"""
Wizz Air,3,1196,"https://www.airlinequality.com/airline-reviews/wizz-air"""
World2Fly,1,1,"https://www.airlinequality.com/airline-reviews/world2fly"""
WOW air,3,579,"https://www.airlinequality.com/airline-reviews/wow-air"""
Xiamen Airlines,5,119,"https://www.airlinequality.com/airline-reviews/xiamen-airlines"""
XL Airways France,5,78,"https://www.airlinequality.com/airline-reviews/xl-airways-france"""
Yakutia Airlines,6,4,"https://www.airlinequality.com/airline-reviews/yakutia-airlines"""
Yangon Airways,9,4,"https://www.airlinequality.com/airline-reviews/yangon-airways"""
Yemenia,4,24,"https://www.airlinequality.com/airline-reviews/yemenia"""
Yeti Airlines,4,5,"https://www.airlinequality.com/airline-reviews/yeti-airlines"""
Zambia Airways,7,1,"https://www.airlinequality.com/airline-reviews/zambia-airways"""
ZIPAIR,2,20,"https://www.airlinequality.com/airline-reviews/zipair"""
